Unix,Timestamp,UTC_Date_&_Time,date,time,time2,Battery,Temperature,DOmgL,DOsat,Q
1617349560,4/2/2021,7:46:00,4/2/2021,0:46:00,47,3.49,8.487,11.991,102.458041,1.001
1617350460,4/2/2021,8:01:00,4/2/2021,1:01:00,48,3.49,8.534,11.913,101.907484,1.002
1617351360,4/2/2021,8:16:00,4/2/2021,1:16:00,49,3.49,8.571,11.842,101.390864,1.001
1617352260,4/2/2021,8:31:00,4/2/2021,1:31:00,50,3.49,8.646,11.708,100.425463,1
1617353160,4/2/2021,8:46:00,4/2/2021,1:46:00,51,3.49,8.852,11.626,100.218654,1
1617354060,4/2/2021,9:01:00,4/2/2021,2:01:00,52,3.49,8.927,11.668,100.762289,1.001
1617354960,4/2/2021,9:16:00,4/2/2021,2:16:00,53,3.49,9.038,11.67,101.048501,1.001
1617355860,4/2/2021,9:31:00,4/2/2021,2:31:00,54,3.49,9.252,11.663,101.506571,1
1617356760,4/2/2021,9:46:00,4/2/2021,2:46:00,55,3.49,9.473,11.714,102.489109,1.001
1617357660,4/2/2021,10:01:00,4/2/2021,3:01:00,56,3.48,9.768,11.819,104.134341,1.001
1617358560,4/2/2021,10:16:00,4/2/2021,3:16:00,57,3.48,10.061,11.962,106.125857,1.001
1617359460,4/2/2021,10:31:00,4/2/2021,3:31:00,58,3.48,10.316,12.175,108.664599,1.001
1617360360,4/2/2021,10:46:00,4/2/2021,3:46:00,59,3.48,10.535,12.449,111.680795,1
1617361260,4/2/2021,11:01:00,4/2/2021,4:01:00,60,3.48,10.353,13.093,116.959309,1.002
1617362160,4/2/2021,11:16:00,4/2/2021,4:16:00,61,3.48,10.244,13.281,118.335895,1.001
1617363060,4/2/2021,11:31:00,4/2/2021,4:31:00,62,3.48,10.289,13.445,119.923697,1.001
1617363960,4/2/2021,11:46:00,4/2/2021,4:46:00,63,3.48,10.316,13.641,121.748977,1.002
1617364860,4/2/2021,12:01:00,4/2/2021,5:01:00,64,3.48,10.298,13.827,123.357005,1.002
1617365760,4/2/2021,12:16:00,4/2/2021,5:16:00,65,3.48,10.326,13.902,124.107544,1.001
1617366660,4/2/2021,12:31:00,4/2/2021,5:31:00,66,3.48,10.353,14.005,125.106173,1.001
1617367560,4/2/2021,12:46:00,4/2/2021,5:46:00,67,3.48,10.335,14.093,125.839198,1.001
1617368460,4/2/2021,13:01:00,4/2/2021,6:01:00,68,3.48,10.335,14.216,126.937489,1.002
1617369360,4/2/2021,13:16:00,4/2/2021,6:16:00,69,3.48,10.371,14.302,127.813132,1.002
1617370260,4/2/2021,13:31:00,4/2/2021,6:31:00,70,3.47,10.353,14.348,128.17018,1.001
1617371160,4/2/2021,13:46:00,4/2/2021,6:46:00,71,3.47,10.353,14.351,128.196979,1.003
1617372060,4/2/2021,14:01:00,4/2/2021,7:01:00,72,3.47,10.335,14.348,128.116143,1.003
1617372960,4/2/2021,14:16:00,4/2/2021,7:16:00,73,3.47,10.307,14.305,127.648393,1.001
1617373860,4/2/2021,14:31:00,4/2/2021,7:31:00,74,3.47,10.344,14.28,127.535847,1
1617374760,4/2/2021,14:46:00,4/2/2021,7:46:00,75,3.47,10.307,14.317,127.755474,1.002
1617375660,4/2/2021,15:01:00,4/2/2021,8:01:00,76,3.47,10.316,14.296,127.594999,1.001
1617376560,4/2/2021,15:16:00,4/2/2021,8:16:00,77,3.47,10.171,14.298,127.179311,1.002
1617377460,4/2/2021,15:31:00,4/2/2021,8:31:00,78,3.47,9.997,14.174,125.561065,1.001
1617378360,4/2/2021,15:46:00,4/2/2021,8:46:00,79,3.47,9.988,14.044,124.383059,1.001
1617379260,4/2/2021,16:01:00,4/2/2021,9:01:00,80,3.47,9.951,13.849,122.549019,1.001
1617380160,4/2/2021,16:16:00,4/2/2021,9:16:00,81,3.47,9.906,13.682,120.942721,1.002
1617381060,4/2/2021,16:31:00,4/2/2021,9:31:00,82,3.47,10.043,13.499,119.711235,1.001
1617381960,4/2/2021,16:46:00,4/2/2021,9:46:00,83,3.47,10.38,13.586,121.44002,1.002
1617382860,4/2/2021,17:01:00,4/2/2021,10:01:00,84,3.47,10.571,13.636,122.432277,1.001
1617383760,4/2/2021,17:16:00,4/2/2021,10:16:00,85,3.47,10.634,13.68,123.007913,1.001
1617384660,4/2/2021,17:31:00,4/2/2021,10:31:00,86,3.47,10.725,13.748,123.881595,1.002
1617385560,4/2/2021,17:46:00,4/2/2021,10:46:00,87,3.47,10.761,13.827,124.69783,1.003
1617386460,4/2/2021,18:01:00,4/2/2021,11:01:00,88,3.47,10.815,13.858,125.134352,1.004
1617387360,4/2/2021,18:16:00,4/2/2021,11:16:00,89,3.47,10.842,13.8,124.68879,1.001
1617388260,4/2/2021,18:31:00,4/2/2021,11:31:00,90,3.47,10.824,13.83,124.907629,1.001
1617389160,4/2/2021,18:46:00,4/2/2021,11:46:00,91,3.46,11.022,13.726,124.538755,1.003
1617390060,4/2/2021,19:01:00,4/2/2021,12:01:00,92,3.47,11.346,13.389,122.392837,1.001
1617390960,4/2/2021,19:16:00,4/2/2021,12:16:00,93,3.46,11.274,13.507,123.266978,1.001
1617391860,4/2/2021,19:31:00,4/2/2021,12:31:00,94,3.47,11.382,13.574,124.186779,1
1617392760,4/2/2021,19:46:00,4/2/2021,12:46:00,95,3.47,11.614,13.578,124.886535,1
1617393660,4/2/2021,20:01:00,4/2/2021,13:01:00,96,3.47,12.024,13.383,124.250019,1.001
1617394560,4/2/2021,20:16:00,4/2/2021,13:16:00,97,3.46,12.369,13.298,124.430133,1.002
1617395460,4/2/2021,20:31:00,4/2/2021,13:31:00,98,3.47,12.74,13.273,125.238411,1.001
1617396360,4/2/2021,20:46:00,4/2/2021,13:46:00,99,3.46,13.161,13.593,129.471313,0.999
1617397260,4/2/2021,21:01:00,4/2/2021,14:01:00,100,3.47,13.685,13.856,133.519465,0.999
1617398160,4/2/2021,21:16:00,4/2/2021,14:16:00,101,3.47,14.405,13.79,134.999818,1.001
1617399060,4/2/2021,21:31:00,4/2/2021,14:31:00,102,3.47,14.862,9.865,97.53882,0.998
1617399960,4/2/2021,21:46:00,4/2/2021,14:46:00,103,3.47,11.202,10.063,91.684176,0.993
1617400860,4/2/2021,22:01:00,4/2/2021,15:01:00,104,3.47,11.766,9.925,91.605198,0.994
1617401760,4/2/2021,22:16:00,4/2/2021,15:16:00,105,3.47,12.449,9.852,92.352409,0.996
1617402660,4/2/2021,22:31:00,4/2/2021,15:31:00,106,3.47,13.319,9.68,92.525344,0.996
1617403560,4/2/2021,22:46:00,4/2/2021,15:46:00,107,3.47,13.859,9.54,92.282917,0.995
1617404460,4/2/2021,23:01:00,4/2/2021,16:01:00,108,3.47,12.572,9.774,91.875625,0.995
1617405360,4/2/2021,23:16:00,4/2/2021,16:16:00,109,3.47,13.03,9.741,92.510797,0.997
1617406260,4/2/2021,23:31:00,4/2/2021,16:31:00,110,3.47,12.272,9.819,91.675587,0.995
1617407160,4/2/2021,23:46:00,4/2/2021,16:46:00,111,3.47,12.042,9.936,92.285247,0.998
1617408060,4/3/2021,0:01:00,4/2/2021,17:01:00,112,3.47,15.669,9.639,96.971436,1.005
1617408960,4/3/2021,0:16:00,4/2/2021,17:16:00,113,3.47,15.849,10.355,104.574965,1
1617409860,4/3/2021,0:31:00,4/2/2021,17:31:00,114,3.47,14.888,11.539,114.154453,0.999
1617410760,4/3/2021,0:46:00,4/2/2021,17:46:00,115,3.47,14.336,12.497,122.157676,0.999
1617411660,4/3/2021,1:01:00,4/2/2021,18:01:00,116,3.47,13.85,13.262,128.261378,1.003
1617412560,4/3/2021,1:16:00,4/2/2021,18:16:00,117,3.47,13.476,13.794,132.308838,1.001
1617413460,4/3/2021,1:31:00,4/2/2021,18:31:00,118,3.47,13.196,14.22,135.549051,0.999
1617414360,4/3/2021,1:46:00,4/2/2021,18:46:00,119,3.47,12.959,14.621,138.636237,1
1617415260,4/3/2021,2:01:00,4/2/2021,19:01:00,120,3.47,12.766,15.004,141.654039,1.003
1617416160,4/3/2021,2:16:00,4/2/2021,19:16:00,121,3.47,12.528,15.21,142.8324,1
1617417060,4/3/2021,2:31:00,4/2/2021,19:31:00,122,3.47,11.498,15.634,143.415128,1.001
1617417960,4/3/2021,2:46:00,4/2/2021,19:46:00,123,3.47,10.28,15.89,141.702148,1.002
1617418860,4/3/2021,3:01:00,4/2/2021,20:01:00,124,3.47,9.279,15.792,137.531162,1.001
1617419760,4/3/2021,3:16:00,4/2/2021,20:16:00,125,3.47,8.899,15.539,134.1011,1.002
1617420660,4/3/2021,3:31:00,4/2/2021,20:31:00,126,3.47,8.833,15.167,130.683065,1.001
1617421560,4/3/2021,3:46:00,4/2/2021,20:46:00,127,3.47,8.731,14.882,127.912645,1.002
1617422460,4/3/2021,4:01:00,4/2/2021,21:01:00,128,3.46,8.637,14.687,125.950472,1.002
1617423360,4/3/2021,4:16:00,4/2/2021,21:16:00,129,3.46,8.628,14.466,124.02828,1.002
1617424260,4/3/2021,4:31:00,4/2/2021,21:31:00,130,3.46,8.562,14.293,122.349614,1
1617425160,4/3/2021,4:46:00,4/2/2021,21:46:00,131,3.46,8.553,14.153,121.12482,1.001
1617426060,4/3/2021,5:01:00,4/2/2021,22:01:00,132,3.46,8.515,14.034,119.995964,1.001
1617426960,4/3/2021,5:16:00,4/2/2021,22:16:00,133,3.46,8.506,13.901,118.832863,1
1617427860,4/3/2021,5:31:00,4/2/2021,22:31:00,134,3.46,8.459,13.826,118.057212,1.003
1617428760,4/3/2021,5:46:00,4/2/2021,22:46:00,135,3.46,8.459,13.672,116.74224,1.002
1617429660,4/3/2021,6:01:00,4/2/2021,23:01:00,136,3.46,8.449,13.546,115.638318,1.002
1617430560,4/3/2021,6:16:00,4/2/2021,23:16:00,137,3.46,8.44,13.461,114.887625,1.002
1617431460,4/3/2021,6:31:00,4/2/2021,23:31:00,138,3.46,8.421,13.33,113.71715,1
1617432360,4/3/2021,6:46:00,4/2/2021,23:46:00,139,3.46,8.402,13.276,113.204288,1.002
1617433260,4/3/2021,7:01:00,4/3/2021,0:01:00,140,3.46,8.431,13.177,112.439186,1.002
1617434160,4/3/2021,7:16:00,4/3/2021,0:16:00,141,3.46,8.412,13.049,111.295661,1.001
1617435060,4/3/2021,7:31:00,4/3/2021,0:31:00,142,3.45,8.412,12.898,110.007774,1
1617435960,4/3/2021,7:46:00,4/3/2021,0:46:00,143,3.45,8.421,12.818,109.349319,1.002
1617436860,4/3/2021,8:01:00,4/3/2021,1:01:00,144,3.45,8.402,12.64,107.781124,1
1617437760,4/3/2021,8:16:00,4/3/2021,1:16:00,145,3.45,8.431,12.543,107.029272,1.001
1617438660,4/3/2021,8:31:00,4/3/2021,1:31:00,146,3.45,8.449,12.438,106.179639,1.001
1617439560,4/3/2021,8:46:00,4/3/2021,1:46:00,147,3.45,8.421,12.387,105.672493,1.002
1617440460,4/3/2021,9:01:00,4/3/2021,2:01:00,148,3.45,8.44,12.282,104.825036,1.001
1617441360,4/3/2021,9:16:00,4/3/2021,2:16:00,149,3.45,8.421,12.219,104.239299,1.001
1617442260,4/3/2021,9:31:00,4/3/2021,2:31:00,150,3.45,8.412,12.157,103.687743,1.002
1617443160,4/3/2021,9:46:00,4/3/2021,2:46:00,151,3.45,8.421,12.055,102.840228,1
1617444060,4/3/2021,10:01:00,4/3/2021,3:01:00,152,3.45,8.431,11.993,102.336128,1.001
1617444960,4/3/2021,10:16:00,4/3/2021,3:16:00,153,3.45,8.431,11.94,101.88388,1.002
1617445860,4/3/2021,10:31:00,4/3/2021,3:31:00,154,3.45,8.44,11.872,101.325747,1.001
1617446760,4/3/2021,10:46:00,4/3/2021,3:46:00,155,3.45,8.421,11.824,100.869586,1.001
1617447660,4/3/2021,11:01:00,4/3/2021,4:01:00,156,3.45,8.44,11.749,100.275961,1.002
1617448560,4/3/2021,11:16:00,4/3/2021,4:16:00,157,3.45,8.44,11.694,99.806544,1.001
1617449460,4/3/2021,11:31:00,4/3/2021,4:31:00,158,3.45,8.496,11.609,99.215641,1
1617450360,4/3/2021,11:46:00,4/3/2021,4:46:00,159,3.45,8.543,11.544,98.772458,0.999
1617451260,4/3/2021,12:01:00,4/3/2021,5:01:00,160,3.45,8.571,11.56,98.976388,1
1617452160,4/3/2021,12:16:00,4/3/2021,5:16:00,161,3.45,8.674,11.552,99.154399,1.001
1617453060,4/3/2021,12:31:00,4/3/2021,5:31:00,162,3.45,8.749,11.554,99.351187,1
1617453960,4/3/2021,12:46:00,4/3/2021,5:46:00,163,3.45,8.796,11.62,100.031958,1.001
1617454860,4/3/2021,13:01:00,4/3/2021,6:01:00,164,3.45,8.833,11.656,100.431319,1.001
1617455760,4/3/2021,13:16:00,4/3/2021,6:16:00,165,3.45,8.843,11.714,100.955362,1.001
1617456660,4/3/2021,13:31:00,4/3/2021,6:31:00,166,3.45,8.927,11.702,101.055905,1
1617457560,4/3/2021,13:46:00,4/3/2021,6:46:00,167,3.45,8.973,11.78,101.841978,1.001
1617458460,4/3/2021,14:01:00,4/3/2021,7:01:00,168,3.45,9.029,11.829,102.403145,1.001
1617459360,4/3/2021,14:16:00,4/3/2021,7:16:00,169,3.45,9.075,11.868,102.854157,1
1617460260,4/3/2021,14:31:00,4/3/2021,7:31:00,170,3.45,9.131,11.947,103.677812,1.001
1617461160,4/3/2021,14:46:00,4/3/2021,7:46:00,171,3.45,9.187,11.997,104.251347,1
1617462060,4/3/2021,15:01:00,4/3/2021,8:01:00,172,3.45,9.224,12.046,104.769803,1.001
1617462960,4/3/2021,15:16:00,4/3/2021,8:16:00,173,3.45,9.261,12.096,105.297738,1.001
1617463860,4/3/2021,15:31:00,4/3/2021,8:31:00,174,3.45,9.335,12.104,105.553684,1.001
1617464760,4/3/2021,15:46:00,4/3/2021,8:46:00,175,3.45,9.381,12.11,105.721916,1.002
1617465660,4/3/2021,16:01:00,4/3/2021,9:01:00,176,3.45,9.437,12.089,105.679486,1
1617466560,4/3/2021,16:16:00,4/3/2021,9:16:00,177,3.45,9.547,12.08,105.877509,1.001
1617467460,4/3/2021,16:31:00,4/3/2021,9:31:00,178,3.45,9.658,12.068,106.051447,1.001
1617468360,4/3/2021,16:46:00,4/3/2021,9:46:00,179,3.45,9.74,12.106,106.592339,1.002
1617469260,4/3/2021,17:01:00,4/3/2021,10:01:00,180,3.45,9.814,12.173,107.370149,1.001
1617470160,4/3/2021,17:16:00,4/3/2021,10:16:00,181,3.45,9.823,12.248,108.054672,1.001
1617471060,4/3/2021,17:31:00,4/3/2021,10:31:00,182,3.45,9.823,12.227,107.869406,1.001
1617471960,4/3/2021,17:46:00,4/3/2021,10:46:00,183,3.45,9.878,12.198,107.753547,1.001
1617472860,4/3/2021,18:01:00,4/3/2021,11:01:00,184,3.45,9.942,12.164,107.615694,1.001
1617473760,4/3/2021,18:16:00,4/3/2021,11:16:00,185,3.45,10.025,12.163,107.817649,1
1617474660,4/3/2021,18:31:00,4/3/2021,11:31:00,186,3.45,10.289,12.237,109.14885,1.001
1617475560,4/3/2021,18:46:00,4/3/2021,11:46:00,187,3.45,10.462,12.567,112.547273,1.001
1617476460,4/3/2021,19:01:00,4/3/2021,12:01:00,188,3.45,10.58,12.852,115.417282,1.001
1617477360,4/3/2021,19:16:00,4/3/2021,12:16:00,189,3.45,10.716,13.05,117.567376,1.001
1617478260,4/3/2021,19:31:00,4/3/2021,12:31:00,190,3.45,10.761,13.137,118.475113,1
1617479160,4/3/2021,19:46:00,4/3/2021,12:46:00,191,3.45,10.842,13.248,119.701239,1.001
1617480060,4/3/2021,20:01:00,4/3/2021,13:01:00,192,3.45,11.058,13.327,121.019308,1.002
1617480960,4/3/2021,20:16:00,4/3/2021,13:16:00,193,3.45,11.211,13.309,121.283719,1
1617481860,4/3/2021,20:31:00,4/3/2021,13:31:00,194,3.45,11.337,13.326,121.791707,1
1617482760,4/3/2021,20:46:00,4/3/2021,13:46:00,195,3.45,11.516,13.325,122.28451,1.001
1617483660,4/3/2021,21:01:00,4/3/2021,14:01:00,196,3.45,11.73,13.311,122.756097,1.001
1617484560,4/3/2021,21:16:00,4/3/2021,14:16:00,197,3.45,11.837,13.34,123.324474,1.001
1617485460,4/3/2021,21:31:00,4/3/2021,14:31:00,198,3.45,11.997,13.242,122.865485,1
1617486360,4/3/2021,21:46:00,4/3/2021,14:46:00,199,3.45,12.245,13.201,123.176474,1.002
1617487260,4/3/2021,22:01:00,4/3/2021,15:01:00,200,3.46,12.572,13.218,124.249234,1.004
1617488160,4/3/2021,22:16:00,4/3/2021,15:16:00,201,3.46,12.845,13.231,125.13649,1.002
1617489060,4/3/2021,22:31:00,4/3/2021,15:31:00,202,3.46,13.152,13.392,127.531234,1.001
1617489960,4/3/2021,22:46:00,4/3/2021,15:46:00,203,3.46,12.325,9.795,91.561243,0.994
1617490860,4/3/2021,23:01:00,4/3/2021,16:01:00,204,3.46,12.219,9.861,91.957278,0.996
1617491760,4/3/2021,23:16:00,4/3/2021,16:16:00,205,3.46,12.625,9.783,92.069987,0.997
1617492660,4/3/2021,23:31:00,4/3/2021,16:31:00,206,3.46,13.109,9.68,92.093732,0.997
1617493560,4/3/2021,23:46:00,4/3/2021,16:46:00,207,3.46,13.546,9.608,92.300702,0.996
1617494460,4/4/2021,0:01:00,4/3/2021,17:01:00,208,3.47,13.798,9.544,92.19764,0.996
1617495360,4/4/2021,0:16:00,4/3/2021,17:16:00,209,3.47,13.833,9.553,92.355776,0.996
1617496260,4/4/2021,0:31:00,4/3/2021,17:31:00,210,3.47,13.406,9.651,92.426551,0.997
1617497160,4/4/2021,0:46:00,4/3/2021,17:46:00,211,3.47,14.024,16.56,160.771355,1.005
1617498060,4/4/2021,1:01:00,4/3/2021,18:01:00,212,3.47,13.624,16.3,156.858833,1.003
1617498960,4/4/2021,1:16:00,4/3/2021,18:16:00,213,3.47,13.275,15.645,149.395003,1
1617499860,4/4/2021,1:31:00,4/3/2021,18:31:00,214,3.47,12.977,15.482,146.859334,1.001
1617500760,4/4/2021,1:46:00,4/3/2021,18:46:00,215,3.47,12.669,15.288,144.021198,1.001
1617501660,4/4/2021,2:01:00,4/3/2021,19:01:00,216,3.47,12.44,15.399,144.320535,1.001
1617502560,4/4/2021,2:16:00,4/3/2021,19:16:00,217,3.47,12.21,15.168,141.418068,1.002
1617503460,4/4/2021,2:31:00,4/3/2021,19:31:00,218,3.47,12.015,15.078,139.958039,1.003
1617504360,4/4/2021,2:46:00,4/3/2021,19:46:00,219,3.47,11.801,14.972,138.29819,1.001
1617505260,4/4/2021,3:01:00,4/3/2021,20:01:00,220,3.47,11.686,14.936,137.603598,1.002
1617506160,4/4/2021,3:16:00,4/3/2021,20:16:00,221,3.47,11.525,14.713,135.050168,1.002
1617507060,4/4/2021,3:31:00,4/3/2021,20:31:00,222,3.47,11.229,14.195,129.41147,1.001
1617507960,4/4/2021,3:46:00,4/3/2021,20:46:00,223,3.47,10.416,12.961,115.951041,0.999
1617508860,4/4/2021,4:01:00,4/3/2021,21:01:00,224,3.47,9.501,11.784,103.170264,1
1617509760,4/4/2021,4:16:00,4/3/2021,21:16:00,225,3.46,9.159,11.297,98.102752,0.999
1617510660,4/4/2021,4:31:00,4/3/2021,21:31:00,226,3.46,8.852,10.993,94.762056,1
1617511560,4/4/2021,4:46:00,4/3/2021,21:46:00,227,3.46,8.796,10.86,93.489421,1.001
1617512460,4/4/2021,5:01:00,4/3/2021,22:01:00,228,3.46,8.796,10.789,92.87821,1.001
1617513360,4/4/2021,5:16:00,4/3/2021,22:16:00,229,3.46,8.731,10.697,91.942048,0.999
1617514260,4/4/2021,5:31:00,4/3/2021,22:31:00,230,3.46,8.703,10.687,91.794068,1
1617515160,4/4/2021,5:46:00,4/3/2021,22:46:00,231,3.46,8.693,10.621,91.205159,1
1617516060,4/4/2021,6:01:00,4/3/2021,23:01:00,232,3.46,8.628,10.568,90.607691,0.999
1617516960,4/4/2021,6:16:00,4/3/2021,23:16:00,233,3.46,8.543,10.544,90.216285,1.001
1617517860,4/4/2021,6:31:00,4/3/2021,23:31:00,234,3.46,8.562,10.442,89.384641,1
1617518760,4/4/2021,6:46:00,4/3/2021,23:46:00,235,3.46,8.543,10.368,88.710399,1
1617519660,4/4/2021,7:01:00,4/4/2021,0:01:00,236,3.46,8.581,10.332,88.483686,1
1617520560,4/4/2021,7:16:00,4/4/2021,0:16:00,237,3.46,8.506,10.341,88.400161,1
1617521460,4/4/2021,7:31:00,4/4/2021,0:31:00,238,3.46,8.525,10.344,88.466497,1.001
1617522360,4/4/2021,7:46:00,4/4/2021,0:46:00,239,3.46,8.515,10.345,88.453631,1
1617523260,4/4/2021,8:01:00,4/4/2021,1:01:00,240,3.45,8.515,10.299,88.060313,0.999
1617524160,4/4/2021,8:16:00,4/4/2021,1:16:00,241,3.46,8.534,10.24,87.596125,1
1617525060,4/4/2021,8:31:00,4/4/2021,1:31:00,242,3.46,8.534,10.233,87.536245,1
1617525960,4/4/2021,8:46:00,4/4/2021,1:46:00,243,3.46,8.525,10.221,87.414546,1
1617526860,4/4/2021,9:01:00,4/4/2021,2:01:00,244,3.46,8.543,10.207,87.332855,1.001
1617527760,4/4/2021,9:16:00,4/4/2021,2:16:00,245,3.45,8.478,10.219,87.29801,1.001
1617528660,4/4/2021,9:31:00,4/4/2021,2:31:00,246,3.46,8.534,10.19,87.16841,1
1617529560,4/4/2021,9:46:00,4/4/2021,2:46:00,247,3.45,8.534,10.137,86.715031,1
1617530460,4/4/2021,10:01:00,4/4/2021,3:01:00,248,3.45,8.534,10.117,86.543945,1
1617531360,4/4/2021,10:16:00,4/4/2021,3:16:00,249,3.45,8.534,10.091,86.321533,1
1617532260,4/4/2021,10:31:00,4/4/2021,3:31:00,250,3.45,8.543,10.095,86.374564,1
1617533160,4/4/2021,10:46:00,4/4/2021,3:46:00,251,3.45,8.543,10.063,86.100766,1
1617534060,4/4/2021,11:01:00,4/4/2021,4:01:00,252,3.45,8.562,10.004,85.635314,1
1617534960,4/4/2021,11:16:00,4/4/2021,4:16:00,253,3.45,8.571,10.015,85.748142,1
1617535860,4/4/2021,11:31:00,4/4/2021,4:31:00,254,3.45,8.571,10.007,85.679647,1.001
1617536760,4/4/2021,11:46:00,4/4/2021,4:46:00,255,3.45,8.562,9.948,85.155948,1.001
1617537660,4/4/2021,12:01:00,4/4/2021,5:01:00,256,3.45,8.581,9.886,84.664123,1.001
1617538560,4/4/2021,12:16:00,4/4/2021,5:16:00,257,3.45,8.562,9.841,84.240016,1
1617539460,4/4/2021,12:31:00,4/4/2021,5:31:00,258,3.45,8.581,9.796,83.89336,1
1617540360,4/4/2021,12:46:00,4/4/2021,5:46:00,259,3.45,8.6,9.8,83.966184,1
